País;Total Casos;Total Muertes;Poblacion;Muertes Tuberculosis;Gasto_Salud_%_PBI
Thailand;4237;60;69625581;9600;3,79
Timor-Leste;31;0;1293120;1100;4,33
Togo;3251;66;8082359;220;6,17
Trinidad and Tobago;6879;122;1394969;22;6,93
Tunisia;111361;3894;11694721;140;7,29
Turkey;995471;16199;82003882;300;4,12
Uganda;27532;221;44269587;7100;6,53
Ukraine;900666;15247;43993643;3200;7,72
United Arab Emirates;184949;617;9770526;66;4,23
United Kingdom;1849403;64170;66647112;310;10,00
United Republic of Tanzania;509;21;58005461;20000;3,63
United States of America;16256754;299177;329064917;540;16,89
Uruguay;9708;92;3461731;71;9,20
Uzbekistan;75094;612;32981715;1500;5,29
Vanuatu;1;0;299882;16;3,37
Venezuela;107177;949;28515829;750;3,56
Vietnam;1397;35;96462108;9400;5,92
Yemen;2083;606;29161922;1900;0,00
Zambia;18274;367;17861034;5900;4,93
Zimbabwe;11246;307;14645473;1700;4,73
